 

stn;time;tre200s0;rre150g0;uor200s0;ure200s0;fu3010z0
GRE;202204231210;14.4;0.0;69.5;69.5;14.4
GRE;202204231220;14.2;0.0;69.4;69.4;12.2
GRE;202204231230;14.4;0.0;70.4;70.4;13.7
GRE;202204231240;14.4;0.0;69.7;69.7;13.7
GRE;202204231250;15.4;0.0;69.7;69.7;14.0
GRE;202204231300;14.8;0.0;68.2;68.2;16.2
GRE;202204231310;14.5;0.0;68.0;68.0;15.1
GRE;202204231320;14.7;0.0;67.8;67.8;14.4
GRE;202204231330;14.9;0.0;67.6;67.6;12.6
GRE;202204231340;14.8;0.0;67.6;67.6;13.3
GRE;202204231350;14.6;0.0;67.0;67.0;13.3
GRE;202204231400;14.8;0.0;67.0;67.0;11.5
GRE;202204231410;14.6;0.0;69.0;69.0;10.8
GRE;202204231420;14.4;0.0;67.8;67.8;13.3
GRE;202204231430;14.2;0.0;69.3;69.3;10.8
GRE;202204231440;14.0;0.0;70.3;70.3;13.7
GRE;202204231450;14.3;0.0;69.7;69.7;16.6
GRE;202204231500;14.3;0.0;69.6;69.6;19.1
GRE;202204231510;14.4;0.0;68.4;68.4;18.4
GRE;202204231520;14.3;0.0;69.2;69.2;18.0
GRE;202204231530;14.2;0.0;69.3;69.3;16.2
GRE;202204231540;14.1;0.0;69.4;69.4;16.2
GRE;202204231550;14.0;0.0;69.2;69.2;16.9
GRE;202204231600;13.7;0.0;69.3;69.3;17.3
GRE;202204231610;13.6;0.0;71.5;71.5;14.4
GRE;202204231620;13.7;0.0;71.7;71.7;15.1
GRE;202204231630;13.8;0.0;70.9;70.9;18.0
GRE;202204231640;13.6;0.0;70.8;70.8;24.5
GRE;202204231650;13.7;0.0;70.0;70.0;25.2
GRE;202204231700;13.8;0.0;69.0;69.0;20.2
GRE;202204231710;13.6;0.0;69.8;69.8;23.0
GRE;202204231720;13.5;0.0;70.1;70.1;20.9
GRE;202204231730;13.4;0.0;70.1;70.1;22.3
GRE;202204231740;13.3;0.0;69.4;69.4;25.6
GRE;202204231750;13.1;0.0;69.4;69.4;25.2
GRE;202204231800;12.6;0.0;71.2;71.2;22.0
GRE;202204231810;12.6;0.0;70.4;70.4;26.6
GRE;202204231820;12.4;0.0;70.9;70.9;23.0
GRE;202204231830;12.3;0.0;70.8;70.8;21.2
GRE;202204231840;12.2;0.0;71.0;71.0;18.4
GRE;202204231850;12.0;0.0;72.0;72.0;19.1
GRE;202204231900;12.0;0.0;72.2;72.2;17.3
GRE;202204231910;12.1;0.0;71.8;71.8;21.2
GRE;202204231920;12.2;0.0;71.9;71.9;21.2
GRE;202204231930;12.0;0.0;72.6;72.6;20.5
